#Typical redshift uncertainty ~10^-4.,,,,,,
#Flux in erg s^-1 cm^-2 and velocity dispersion in km/s.,,,,,,
#^a The flag corresponds to 1: KMOS; 2: MOSFIRE; 3: XShooter; 4: taken from the literature (Erb et al. 2006; Masters et al. 2014; Maseda et al. 2014); 5: local HIIG (Chávez et al. 2014).,,,,,,
#Target,redshift,log sigma_corr,err_log sigma_corr,log fHb_corr,err_log fHb_corr,note
COSMOS8991,2.2203,1.725,0.023,-16.456,0.251,1
COSMOS11212,2.1984,1.655,0.020,-16.497,0.150,1
GOODS-S-17892,1.6873,1.743,0.018,-16.339,0.058,1
GOODS-S-26816,1.7384,1.685,0.064,-16.644,0.087,1
GSD5,1.7384,1.618,0.063,-16.989,0.092,1
GSD6,1.7688,1.806,0.043,-16.472,0.088,1
GSD9,1.7161,1.514,0.063,-16.682,0.096,1
GSD23,1.7306,1.578,0.085,-17.011,0.101,1
PEARS-103,1.6796,1.761,0.056,-16.768,0.080,1
Q2343-BM181,1.4955,1.792,0.043,-16.764,0.104,1
Q2343-BX182,2.2881,1.792,0.027,-16.303,0.113,1
Q2343-BX336,2.5449,1.807,0.034,-16.596,0.077,1
Q2343-BX389,2.1721,1.774,0.046,-16.150,0.050,1
Q2343-BX390,2.2321,1.848,0.034,-16.548,0.118,1
Q2343-BX391,2.1744,1.710,0.046,-16.606,0.052,1
Q2343-BX429,2.1776,1.821,0.056,-16.548,0.055,1
Q2343-BX435,2.1124,1.817,0.084,-16.779,0.232,1
Q2343-BX480,2.2322,1.683,0.074,-16.767,0.188,1
Q2343-BX493,2.3403,1.727,0.035,-16.505,0.088,1
Q2343-BX529,2.1138,1.674,0.034,-16.367,0.090,1
Q2343-BX601,2.3780,1.638,0.058,-16.546,0.111,1
UDS15,1.7681,1.593,0.046,-16.919,0.089,1
UDS20,1.6390,1.810,0.041,-16.694,0.090,1
UDS24,1.6635,1.678,0.073,-17.072,0.154,1
UDS26,1.7378,1.721,0.067,-16.895,0.118,1
UDS35,1.6692,1.583,0.074,-17.014,0.078,1
UDS38,1.6718,1.726,0.056,-16.759,0.118,1
UDS-3760,1.6649,1.744,0.044,-16.725,0.095,1
UDS14655,2.2981,1.830,0.010,-16.190,0.133,1
COSMOS-12807,1.5820,1.726,0.039,-16.869,0.086,2
COSMOS-13848,1.4433,1.447,0.085,-17.007,0.104,2
COSMOS-15144,1.4120,1.655,0.022,-16.351,0.072,2
COSMOS-16207,1.6482,1.627,0.016,-16.355,0.069,2
COSMOS-16566,1.4366,1.617,0.025,-16.670,0.106,2
COSMOS-17118,1.6554,1.502,0.046,-16.623,0.079,2
COSMOS-18358,1.6491,1.821,0.026,-16.159,0.056,2
HDF-BX1376,2.4294,1.785,0.025,-16.423,0.104,2
UDS23,1.6001,1.650,0.052,-17.030,0.130,2
UDS25,1.6658,1.754,0.030,-16.479,0.073,2
UDS40,1.6113,1.769,0.075,-17.067,0.154,2
UDS-11484,2.1856,1.816,0.010,-16.308,0.127,2
